Date,Price ,Price
2/11/2020,158,70.389999
2/12/2020,157.779999,69.75
2/13/2020,155.949997,70.330002
2/14/2020,157.789993,71.709999
2/18/2020,158.199997,72.550003
2/19/2020,162.470001,72.519997
2/20/2020,165.610001,71.019997
2/21/2020,163.740005,70.25
2/24/2020,158.279999,70.32
2/25/2020,159.190002,69.480003
2/26/2020,155.360001,69.550003
2/27/2020,150.690002,68
2/28/2020,142.970001,64.18
3/2/2020,147.130005,61.650002
3/3/2020,147.5,60.369999
3/4/2020,146.970001,62
3/5/2020,143.669998,61.959999
3/6/2020,136.610001,62.369999
3/9/2020,133.309998,59.5
3/10/2020,133.539993,55
3/11/2020,132.779999,55.360001
3/12/2020,120.290001,53.330002
3/13/2020,117.169998,47.544998
3/16/2020,109.970001,38.560001
3/17/2020,109.459999,40.119999
3/18/2020,107.75,35.700001
3/19/2020,106.940002,30.450001
3/20/2020,110.529999,29.299999
3/23/2020,106.5,35.380001
3/24/2020,111.18,33.970001
3/25/2020,112.419998,36.395
3/26/2020,114.540001,36.255001
3/27/2020,115.010002,41.705002
3/30/2020,117.900002,48.275002
3/31/2020,117,46.599998
4/1/2020,112.949997,43
4/2/2020,115.440002,40.5
4/3/2020,112.940002,38.349998
4/6/2020,112.629997,38.439999
4/7/2020,118.660004,39.200001
4/8/2020,120.949997,42.5
4/9/2020,125.120003,44.720001
4/13/2020,123.199997,43.185001
4/14/2020,124.330002,42.880001
4/15/2020,125.529999,43.75
4/16/2020,131.320007,42.965
4/17/2020,133.710007,45.025002
4/20/2020,131.690002,46.73
4/21/2020,131.529999,45.5
4/22/2020,136.850006,45.91
4/23/2020,136.669998,46.985001
4/24/2020,135.610001,46.25
4/27/2020,140.759995,49.224998
4/28/2020,143.729996,50.540001
4/29/2020,145.860001,51.709999
4/30/2020,145.539993,54.599998
5/1/2020,152.539993,49.244999
5/4/2020,151.289993,49.900002
5/5/2020,147.880005,46.740002
5/6/2020,146.789993,48.029999
5/7/2020,146.279999,48.744999
5/8/2020,143.889999,49.615002
5/11/2020,142.330002,47.23
5/12/2020,146.399994,45.025002
5/13/2020,145,42.849998
5/14/2020,144.059998,44.59
5/15/2020,145.330002,44.77
5/18/2020,144.509995,48.125
5/19/2020,142.300003,47.490002
5/20/2020,142.630005,47.5
5/21/2020,140.550003,48
5/22/2020,142.830002,47.700001
5/26/2020,143.119995,47.740002
5/27/2020,142.380005,51
5/28/2020,147.770004,53
5/29/2020,150.089996,50.080002
6/1/2020,152.690002,51.060001
6/2/2020,153.990005,50.540001
6/3/2020,153.070007,52.43
6/4/2020,152.649994,51.720001
6/5/2020,152.039993,55.299999
6/8/2020,150.929993,56.419998
6/9/2020,152.179993,54.599998
6/10/2020,153.949997,48.904999
6/11/2020,148.350006,47.485001
6/12/2020,145.820007,46.744999
6/15/2020,143.460007,49.005001
6/16/2020,149.669998,50.240002
6/17/2020,146.979996,47.93
6/18/2020,148.979996,49.814999
6/19/2020,151.630005,47.91
6/22/2020,150.539993,48.689999
6/23/2020,151.080002,51.209999
6/24/2020,147.399994,48.415001
6/25/2020,143.889999,48.57
6/26/2020,143.259995,46.665001
6/29/2020,143.419998,48.209999
6/30/2020,139.570007,47.91
7/1/2020,140.369995,47.535
7/2/2020,150.539993,47.845001
7/6/2020,146.270004,48.360001
7/7/2020,149.949997,46.900002
7/8/2020,150.089996,46.66
7/9/2020,150.830002,46.924999
7/10/2020,149.160004,44.695
7/13/2020,150.460007,46.255001
7/14/2020,148.589996,46.049999
7/15/2020,153.110001,47.099998
7/16/2020,153.419998,48.209999
7/17/2020,153.690002,47.720001
7/20/2020,158.580002,null
7/21/2020,158.839996,46.419998
7/22/2020,159.710007,47.285
7/23/2020,160.839996,47.599998
7/24/2020,160.100006,46.91
7/27/2020,161.690002,46.790001
7/28/2020,162,45.814999
7/29/2020,161.660004,45.334999
7/30/2020,162.339996,45.57
7/31/2020,170,44.939999
8/3/2020,168.470001,44.595001
8/4/2020,165.25,44.130001
8/5/2020,164.020004,45.685001
8/6/2020,162.160004,46.060001
8/7/2020,162.360001,47.310001
8/10/2020,160.600006,48.924999
8/11/2020,159.210007,51.080002
8/12/2020,159.910004,51.93
8/13/2020,159.139999,50.119999
8/14/2020,157.550003,49.450001
8/17/2020,158.119995,49.93
8/18/2020,156.550003,49.935001
8/19/2020,157.5,49.705002
8/20/2020,157.190002,48.650002
8/21/2020,157.240005,49.064999
8/24/2020,156.789993,48.619999
8/25/2020,156.440002,48.695
8/26/2020,159.410004,48.875
8/27/2020,161.949997,49.084999
8/28/2020,162.229996,50.68
8/31/2020,161.559998,52.389999
9/1/2020,160.789993,50.029999
9/2/2020,163.259995,50.439999
9/3/2020,164.119995,51.259998
9/4/2020,160.740005,50.720001
9/8/2020,155.880005,51.080002
9/9/2020,156.860001,50.099998
9/10/2020,158.820007,50.169998
9/11/2020,157.850006,51.82
9/14/2020,157.479996,52.27
9/15/2020,159.729996,52.830002
9/16/2020,160.410004,54.27
9/17/2020,157.350006,55.009998
9/18/2020,159,56.880001
9/21/2020,154.880005,null
9/22/2020,154.699997,56.540001
9/23/2020,154.630005,54.110001
9/24/2020,153.570007,55.18
9/25/2020,152.070007,52.349998
9/28/2020,157.429993,52.669998
9/29/2020,159.330002,53.48
9/30/2020,159.830002,52.889999
10/1/2020,161.279999,51.43
10/2/2020,162.119995,52.77
10/5/2020,164.990005,52.27
10/6/2020,163.589996,53.959999
10/7/2020,165.830002,53.389999
10/8/2020,171.199997,55.18
10/9/2020,178.259995,56.369999
10/12/2020,181.869995,57.490002
10/13/2020,182.850006,57.209999
10/14/2020,184.520004,57.029999
10/15/2020,181.720001,55.25
10/16/2020,182.460007,56.400002
10/19/2020,185.479996,56.529999
10/20/2020,182.050003,56.060001
10/21/2020,184.699997,54.48
10/22/2020,184.699997,54.48
10/23/2020,183.830002,53.419998
10/26/2020,183.539993,54.900002
10/27/2020,179.210007,53.889999
10/28/2020,182.220001,51.34
10/29/2020,180.360001,49.575001
10/30/2020,194.220001,46.584999
11/2/2020,189.720001,46.645
11/3/2020,195.619995,47.59
11/4/2020,201.490005,49.584999
11/5/2020,207.979996,51.259998
11/6/2020,206.789993,51.860001
11/9/2020,212,50.990002
11/10/2020,213.190002,51.650002
11/11/2020,212.839996,60
11/12/2020,213.539993,61.049999
11/13/2020,206.889999,57.549999
11/16/2020,206.699997,57.279999
11/17/2020,203.580002,60.66
11/18/2020,204.350006,62.759998
11/19/2020,198.130005,62.009998
11/20/2020,200,60.459999
11/23/2020,202.25,59.98
11/24/2020,199.809998,59.040001
11/25/2020,197.710007,60.349998
11/27/2020,197.139999,60.650002
11/30/2020,199.789993,59.759998
12/1/2020,201.199997,60.540001
12/2/2020,202.330002,58.740002
12/3/2020,202.080002,59.77
12/4/2020,200.899994,60.419998
12/7/2020,202.479996,59.91
12/8/2020,199.380005,61.240002
12/9/2020,202.320007,64.790001
