Date,Price ,Price,close
2/11/2018,158,70.389999,23.7757
2/12/2018,157.779999,69.75,23.65
2/13/2018,155.949997,70.330002,23.5871
2/14/2018,157.789993,71.709999,23.4157
2/18/2018,158.199997,72.550003,23.6443
2/19/2018,162.470001,72.519997,23.5314
2/20/2018,165.610001,71.019997,23.2614
2/21/2018,163.740005,70.25,23.6157
2/24/2018,158.279999,70.32,24.06
2/25/2018,159.190002,69.480003,23.8257
2/26/2018,155.360001,69.550003,22.7986
2/27/2018,150.690002,68,23.4286
2/28/2019,142.970001,64.18,23.5143
3/2/2019,147.130005,61.650002,23.7614
3/3/2019,147.5,60.369999,24.1743
3/4/2019,146.970001,62,24.1514
3/5/2019,143.669998,61.959999,24.2
3/6/2019,23.33,62.369999,23.9157
3/9/2019,133.309998,59.5,24.2071
3/10/2019,133.539993,55,24.2928
3/11/2019,132.779999,55.360001,24.03
3/12/2019,120.290001,53.330002,23.614
3/13/2019,117.169998,47.544998,23.5971
3/16/2019,109.970001,38.560001,23.7929
3/17/2019,109.459999,40.119999,24.33
3/18/2019,107.75,35.700001,24.7043
3/19/2019,106.940002,30.450001,24.4486
3/20/2019,110.529999,29.299999,24.6514
3/23/2019,106.5,35.380001,24.5943
3/24/2019,111.18,33.970001,24.8171
3/25/2019,112.419998,36.395,25.0228
3/26/2019,114.540001,36.255001,25.9814
3/27/2019,115.010002,41.705002,26.3643
3/30/2019,117.900002,48.275002,26.4314
3/31/2019,117,46.599998,26.2886
4/1/2019,112.949997,43,26.3543
4/2/2019,115.440002,40.5,26.5
4/3/2019,112.940002,38.349998,26.26
4/6/2019,112.629997,38.439999,26.0528
4/7/2019,118.660004,39.200001,26.5931
4/8/2019,120.949997,42.5,26.4828
4/9/2019,125.120003,44.720001,26.4786
4/13/2019,123.199997,43.185001,25.8371
4/14/2019,124.330002,42.880001,26.4143
4/15/2019,125.529999,43.75,26.5748
4/16/2019,131.320007,42.965,27.1443
4/17/2019,133.710007,45.025002,27.1786
4/20/2019,131.690002,46.73,27.0386
4/21/2019,131.529999,45.5,27.21
4/22/2019,136.850006,45.91,27.2586
4/23/2019,136.669998,46.985001,27.1457
4/24/2019,135.610001,46.25,27.3271
4/27/2019,140.759995,49.224998,27.2228
4/28/2019,143.729996,50.540001,26.8643
4/29/2019,145.860001,51.709999,27.1228
4/30/2019,145.539993,54.599998,28.3943
5/1/2019,152.539993,49.244999,29.2743
5/4/2019,151.289993,49.900002,29.3143
5/5/2019,147.880005,46.740002,29.1343
5/6/2019,146.789993,48.029999,28.9257
5/7/2019,146.279999,48.744999,28.1957
5/8/2019,143.889999,49.615002,27.4857
5/11/2019,142.330002,47.23,28.05
5/12/2019,146.399994,45.025002,26.9286
5/13/2019,145,42.849998,27.0443
5/14/2019,144.059998,44.59,26.9643
5/15/2019,145.330002,44.77,27.2586
5/18/2019,144.509995,48.125,27.7186
5/19/2019,142.300003,47.490002,27.7628
5/20/2019,142.630005,47.5,28.78
5/21/2019,140.550003,48,28.9971
5/22/2019,142.830002,47.700001,29.0357
5/26/2019,143.119995,47.740002,28.8557
5/27/2019,142.380005,51,29.2071
5/28/2019,147.770004,53,29.5186
5/29/2019,150.089996,50.080002,29.5714
6/1/2019,152.690002,51.060001,29.4228
6/2/2019,153.990005,50.540001,28.6443
6/3/2019,153.070007,52.43,28.56
6/4/2019,152.649994,51.720001,29.4114
6/5/2019,152.039993,55.299999,29.2057
6/8/2019,150.929993,56.419998,29.17
6/9/2019,152.179993,54.599998,28.6557
6/10/2019,153.949997,48.904999,28.5586
6/11/2019,148.350006,47.485001,28.1386
6/12/2019,145.820007,46.744999,28.0328
6/15/2019,143.460007,49.005001,28.0686
6/16/2019,149.669998,50.240002,27.6171
6/17/2019,146.979996,47.93,26.9928
6/18/2019,148.979996,49.814999,27.1243
6/19/2019,151.630005,47.91,28.2571
6/22/2019,150.539993,48.689999,28.0614
6/23/2019,151.080002,51.209999,27.81
6/24/2019,147.399994,48.415001,28.14
6/25/2019,143.889999,48.57,27.7386
6/26/2019,143.259995,46.665001,27.8614
6/29/2019,143.419998,48.209999,27.4086
6/30/2019,139.570007,47.91,27.9186
7/1/2019,140.369995,47.535,28.3186
7/2/2019,150.539993,47.845001,28.6228
7/6/2019,146.270004,48.360001,28.8714
7/7/2019,149.949997,46.900002,29.8628
7/8/2019,150.089996,46.66,30.23
7/9/2019,150.830002,46.924999,29.8714
7/10/2019,149.160004,44.695,30.2343
7/13/2019,150.460007,46.255001,30.1046
7/14/2019,148.589996,46.049999,30.5728
7/15/2019,153.110001,47.099998,30.6257
7/16/2019,153.419998,48.209999,30.1386
7/17/2019,153.690002,47.720001,30.0828
7/20/2019,158.580002,null,30.2828
7/21/2019,158.839996,46.419998,30.0157
7/22/2019,159.710007,47.285,29.6743
7/23/2019,160.839996,47.599998,30.0928
7/24/2019,160.100006,46.91,29.9186
7/27/2019,161.690002,46.790001,29.4186
7/28/2019,162,45.814999,30.72
7/29/2019,161.660004,45.334999,30.2464
7/30/2019,162.339996,45.57,29.7246
7/31/2019,170,44.939999,28.25
8/3/2019,168.470001,44.595001,29.0107
8/4/2019,165.25,44.130001,29.42
8/5/2019,164.020004,45.685001,29.6977
8/6/2019,162.160004,46.060001,28.47
8/7/2019,162.360001,47.310001,27.4376
8/10/2019,160.600006,48.924999,27.8186
8/11/2019,159.210007,51.080002,27.98
8/12/2019,159.910004,51.93,28.4614
8/13/2019,159.139999,50.119999,27.4357
8/14/2019,157.550003,49.450001,27.9228
8/17/2019,158.119995,49.93,27.7314
8/18/2019,156.550003,49.935001,28.0271
8/19/2019,157.5,49.705002,27.8737
8/20/2019,157.190002,48.650002,28.3814
8/21/2019,157.240005,49.064999,28.6257
8/24/2019,156.789993,48.619999,29.0571
8/25/2019,156.440002,48.695,28.9357
8/26/2019,159.410004,48.875,28.9897
8/27/2019,161.949997,49.084999,28.81
8/28/2019,162.229996,50.68,28.6308
8/31/2019,161.559998,52.389999,28.1513
9/1/2019,160.789993,50.029999,28.6651
9/2/2019,163.259995,50.439999,28.8571
9/3/2019,164.119995,51.259998,29.2314
9/4/2019,160.740005,50.720001,29.8557
9/8/2019,155.880005,51.080002,29.8357
9/9/2019,156.860001,50.099998,29.9043
9/10/2019,158.820007,50.169998,30.1014
9/11/2019,157.850006,51.82,31.2786
9/14/2019,157.479996,52.27,31.2971
9/15/2019,159.729996,52.830002,31.86
9/16/2019,160.410004,54.27,32.12
9/17/2019,157.350006,55.009998,32.2143
9/18/2019,159,56.880001,32.3714
9/21/2019,154.880005,null,31.9771
9/22/2019,154.699997,56.540001,32.0643
9/23/2019,154.630005,54.110001,32.0171
9/24/2019,153.570007,55.18,32.0928
9/25/2019,152.070007,52.349998,31.75
9/28/2019,157.429993,52.669998,32.1071
9/29/2019,159.330002,53.48,32.6228
9/30/2019,159.830002,52.889999,32.7671
10/1/2019,161.279999,51.43,32.3786
10/2/2019,162.119995,52.77,32.9857
10/5/2019,164.990005,52.27,33.1986
10/6/2019,163.589996,53.959999,33.6921
