Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2015-03-02,,,,
2015-03-03,,,,
2015-03-04,,,,
2015-03-05,,,,
2015-03-06,,,,
2015-03-09,,,,
2015-03-10,,,,
2015-03-11,,,,
2015-03-12,,,,
2015-03-13,,,,
2015-03-16,,,,
2015-03-17,,,,
2015-03-18,,,,
2015-03-19,,,,
2015-03-20,,,,
2015-03-23,,,,
2015-03-24,,,,
2015-03-25,,,,
2015-03-26,,,,
2015-03-27,,,,
2015-03-30,,,,
2015-03-31,,,,
2015-04-01,,,,
2015-04-02,,,,
2015-04-06,,,,
2015-04-07,,,,
2015-04-08,,,,
2015-04-09,,,,
2015-04-10,,,,
2015-04-13,,,,
2015-04-14,,,,
2015-04-15,,,,
2015-04-16,,,,
2015-04-17,,,,
2015-04-20,,,,
2015-04-21,,,,
2015-04-22,,,,
2015-04-23,,,,
2015-04-24,,,,
2015-04-27,,,,
2015-04-28,,,,
2015-04-29,,,,
2015-04-30,,,,
2015-05-01,,,,
2015-05-04,,,,
2015-05-05,,,,
2015-05-06,,,,
2015-05-07,,,,
2015-05-08,,,,
2015-05-11,,,,
2015-05-12,,,,
2015-05-13,,,,
2015-05-14,,,,
2015-05-15,,,,
2015-05-18,,,,
2015-05-19,,,,
2015-05-20,,,,
2015-05-21,,,,
2015-05-22,,,,
2015-05-26,,,,
2015-05-27,,,,
2015-05-28,,,,
2015-05-29,,,,
2015-06-01,,,,
2015-06-02,,,,
2015-06-03,,,,
2015-06-04,,,,
2015-06-05,,,,
2015-06-08,,,,
2015-06-09,,,,
2015-06-10,,,,
2015-06-11,,,,
2015-06-12,,,,
2015-06-15,,,,
2015-06-16,,,,
2015-06-17,,,,
2015-06-18,,,,
2015-06-19,,,,
2015-06-22,,,,
2015-06-23,,,,
2015-06-24,,,,
2015-06-25,,,,
2015-06-26,,,,
2015-06-29,,,,
2015-06-30,,,,
2015-07-01,,,,
2015-07-02,,,,
2015-07-03,,,,
2015-07-06,,,,
2015-07-07,,,,
2015-07-08,,,,
2015-07-09,,,,
2015-07-10,,,,
2015-07-13,,,,
2015-07-14,,,,
